index,feature_1,feature_2,true_label,predicted_label,probability_class_1
33,-1.705083,0.050364,1,0,0.357253
37,-1.69092,0.02079,1,0,0.337018
43,-1.526074,0.701439,0,1,0.818019
58,-0.974881,0.382769,0,1,0.655092
60,-1.882126,0.558576,0,1,0.723958
81,-1.625397,0.701874,0,1,0.814455
88,-0.524581,0.899963,0,1,0.915282
89,-1.551318,0.066772,1,0,0.378277
91,-1.048447,0.29456,0,1,0.585605
92,-2.029065,0.692238,0,1,0.793611
104,-0.997177,0.783908,0,1,0.869417
126,-0.639745,0.291224,0,1,0.607959
127,-1.7467,0.027148,1,0,0.338328
130,-1.964065,0.496198,0,1,0.678638
134,-0.560398,0.461031,0,1,0.729517
139,0.111928,0.173113,0,1,0.564125
140,-1.799287,0.042718,1,0,0.346343
