false_positive_rate,true_positive_rate,threshold
0.0,0.0,inf
0.0,0.013333,0.995798
0.0,0.026667,0.986032
0.0,0.04,0.985825
0.0,0.053333,0.981304
0.0,0.066667,0.975762
0.0,0.08,0.975061
0.0,0.093333,0.973986
0.0,0.106667,0.963584
0.0,0.12,0.962779
0.0,0.133333,0.961901
0.0,0.146667,0.95941
0.0,0.16,0.959304
0.0,0.173333,0.94255
0.0,0.186667,0.939116
0.0,0.2,0.936096
0.0,0.213333,0.936035
0.0,0.226667,0.935321
0.0,0.24,0.92791
0.0,0.253333,0.926129
0.0,0.266667,0.924811
0.0,0.28,0.924621
0.0,0.293333,0.923356
0.0,0.306667,0.919505
0.0,0.32,0.918303
0.0,0.333333,0.918094
0.0,0.346667,0.916738
0.013333,0.346667,0.915282
0.013333,0.36,0.914761
0.013333,0.373333,0.909845
0.013333,0.386667,0.902561
0.013333,0.4,0.902319
0.013333,0.413333,0.888085
0.013333,0.426667,0.887337
0.013333,0.44,0.883314
0.013333,0.453333,0.881648
0.013333,0.466667,0.880609
0.026667,0.466667,0.869417
0.026667,0.48,0.85806
0.026667,0.493333,0.856857
0.026667,0.506667,0.85666
0.026667,0.52,0.837903
0.026667,0.533333,0.830986
0.026667,0.546667,0.821798
0.04,0.546667,0.818019
0.053333,0.546667,0.814455
0.053333,0.56,0.810068
0.066667,0.56,0.793611
0.066667,0.573333,0.785936
0.066667,0.586667,0.776049
0.066667,0.6,0.774999
0.066667,0.613333,0.763521
0.066667,0.626667,0.757589
0.066667,0.64,0.755153
0.066667,0.653333,0.75417
0.066667,0.666667,0.7529
0.066667,0.68,0.738955
0.066667,0.693333,0.730076
0.08,0.693333,0.729517
0.093333,0.693333,0.723958
0.093333,0.706667,0.723769
0.093333,0.72,0.717478
0.093333,0.733333,0.706649
0.093333,0.746667,0.690484
0.093333,0.76,0.689245
0.093333,0.773333,0.678676
0.106667,0.773333,0.678638
0.106667,0.786667,0.676825
0.106667,0.8,0.671074
0.12,0.8,0.655092
0.12,0.813333,0.636592
0.12,0.826667,0.636254
0.12,0.84,0.626998
0.12,0.853333,0.609056
0.133333,0.853333,0.607959
0.133333,0.866667,0.603867
0.133333,0.88,0.601265
0.133333,0.893333,0.593923
0.133333,0.906667,0.591278
0.146667,0.906667,0.585605
0.146667,0.92,0.577235
0.16,0.92,0.564125
0.16,0.933333,0.554312
0.173333,0.933333,0.419672
0.186667,0.933333,0.39111
0.2,0.933333,0.388999
0.213333,0.933333,0.380763
0.213333,0.946667,0.378277
0.226667,0.946667,0.366727
0.24,0.946667,0.365673
0.24,0.96,0.357253
0.253333,0.96,0.350147
0.266667,0.96,0.349875
0.266667,0.973333,0.346343
0.28,0.973333,0.346272
0.293333,0.973333,0.339172
0.293333,0.986667,0.338328
0.293333,1.0,0.337018
0.306667,1.0,0.308349
0.32,1.0,0.29643
0.333333,1.0,0.295713
0.346667,1.0,0.265548
0.36,1.0,0.216725
0.373333,1.0,0.215843
0.386667,1.0,0.184586
0.4,1.0,0.181352
0.413333,1.0,0.164517
0.426667,1.0,0.164255
0.44,1.0,0.160782
0.453333,1.0,0.16053
0.466667,1.0,0.154566
0.48,1.0,0.150132
0.493333,1.0,0.114031
0.506667,1.0,0.110819
0.52,1.0,0.090273
0.533333,1.0,0.072138
0.546667,1.0,0.058548
0.56,1.0,0.048782
0.573333,1.0,0.047429
0.586667,1.0,0.045754
0.6,1.0,0.044829
0.613333,1.0,0.034296
0.626667,1.0,0.030772
0.64,1.0,0.029054
0.653333,1.0,0.026839
0.666667,1.0,0.024613
0.68,1.0,0.024547
0.693333,1.0,0.019942
0.706667,1.0,0.015967
0.72,1.0,0.014866
0.733333,1.0,0.010959
0.746667,1.0,0.010438
0.76,1.0,0.009569
0.773333,1.0,0.009416
0.786667,1.0,0.0087
0.8,1.0,0.007178
0.813333,1.0,0.007067
0.826667,1.0,0.006871
0.84,1.0,0.006578
0.853333,1.0,0.006573
0.866667,1.0,0.005903
0.88,1.0,0.005009
0.893333,1.0,0.004492
0.906667,1.0,0.004076
0.92,1.0,0.002382
0.933333,1.0,0.002
0.946667,1.0,0.001955
0.96,1.0,0.001789
0.973333,1.0,0.001489
0.986667,1.0,0.000524
1.0,1.0,0.000455
1.0,1.0,-inf
